Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names
Seed Round - Curtail,https://www.crunchbase.com/funding_round/curtail-seed--516b258c,Curtail,https://www.crunchbase.com/organization/curtail,Seed,3250000,USD,3250000,2019-04-16,Tarus Capital
Seed Round - Wootcloud,https://www.crunchbase.com/funding_round/wootcloud-seed--f392aa7d,Wootcloud,https://www.crunchbase.com/organization/wootcloud,Seed,3600000,USD,3600000,2019-04-01,"Clear Ventures, Healthy Ventures, Nexus Venture Partners"
Seed Round - PixelPin,https://www.crunchbase.com/funding_round/pixelpin-seed--6fa69ec8,PixelPin,https://www.crunchbase.com/organization/pixelpin,Seed,1500000,GBP,1958275,2019-04-11,SBI Investment
Series A - Elevate Security,https://www.crunchbase.com/funding_round/elevate-security-series-a--43a8dc99,Elevate Security,https://www.crunchbase.com/organization/elevate-security,Series A,8000000,USD,8000000,2019-02-13,"Costanoa Ventures, Defy.vc"
Angel Round - Trusted Key,https://www.crunchbase.com/funding_round/trusted-key-angel--e46f0127,Trusted Key,https://www.crunchbase.com/organization/trusted-key,Angel,,,,2019-04-04,Okta Ventures
Series C - Area 1 Security,https://www.crunchbase.com/funding_round/area-1-security-series-c--7dd73d35,Area 1 Security,https://www.crunchbase.com/organization/area-1-security,Series C,32000000,USD,32000000,2018-10-23,"AllegisCyber, Data Collective DCVC, Duke Management Company, EPIC Ventures, Icon Ventures, Kleiner Perkins, Tim Eades, Tom Noonan, Top Tier Capital Partners"
Seed Round - XCloud Networks,https://www.crunchbase.com/funding_round/xcloud-networks-seed--3dbd7d1b,XCloud Networks,https://www.crunchbase.com/organization/xcloud-networks,Seed,560000,USD,560000,2018-01-11,"Berge Berge Ayvazian, Granatus Ventures, HI Cisco, Hrachya Aghajanyan, Nucleus Investments, SmartGateVC"
Series B - Tigera,https://www.crunchbase.com/funding_round/tigera-series-b--50938efd,Tigera,https://www.crunchbase.com/organization/tigera,Series B,30000000,USD,30000000,2018-12-12,"Insight Partners, Madrona Venture Group, New Enterprise Associates, Wing"
Series E - vArmour,https://www.crunchbase.com/funding_round/varmour-networks-series-e--2bdea362,vArmour,https://www.crunchbase.com/organization/varmour-networks,Series E,44000000,USD,44000000,2019-02-06,"AllegisCyber, NightDragon Security"
Series A - SAM Seamless Network,https://www.crunchbase.com/funding_round/sam-seamless-network-series-a--4078e814,SAM Seamless Network,https://www.crunchbase.com/organization/sam-seamless-network,Series A,12000000,USD,12000000,2018-11-14,"ADT Security, Blumberg Capital, Intel Capital, NightDragon Security"
