site,BreachDate,Domain,PwnCount,DataClasses
GoldSilver,2018-10-21,goldsilver.com,242715,"['Bank account numbers', 'Email addresses', 'IP addresses', 'Names', 'Partial credit card data', 'Passport numbers', 'Phone numbers', 'Physical addresses', 'Purchases', 'Security questions and answers', 'Social security numbers']"
gPotato,2007-07-12,gpotato.com,2136520,"['Dates of birth', 'Email addresses', 'Genders', 'IP addresses', 'Names', 'Passwords', 'Physical addresses', 'Security questions and answers', 'Usernames', 'Website activity']"
GTAGaming,2016-08-01,gtagaming.com,197184,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Playgar,2016-04-01,play-gar.com,143569,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
HackForums,2011-06-25,hackforums.net,191540,"['Dates of birth', 'Email addresses', 'Instant messenger identities', 'IP addresses', 'Passwords', 'Social connections', 'Spoken languages', 'Time zones', 'User website URLs', 'Usernames', 'Website activity']"
HackingTeam,2015-07-06,hackingteam.com,32310,"['Email addresses', 'Email messages']"
HauteLook,2018-08-07,hautelook.com,28510459,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Names', 'Passwords']"
HealthNowNetworks,2017-03-25,healthnow.co,321920,"['Dates of birth', 'Email addresses', 'Genders', 'Health insurance information', 'IP addresses', 'Names', 'Personal health data', 'Phone numbers', 'Physical addresses', 'Security questions and answers', 'Social connections']"
Hemmakvall,2015-07-08,hemmakvall.se,47297,"['Email addresses', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']"
Hemmelig,2011-12-21,hemmelig.com,28641,"['Email addresses', 'Genders', 'Nicknames', 'Passwords', 'Usernames', 'Years of birth']"
HeroesOfGaia,2013-01-04,heroesofgaia.com,179967,"['Browser user agent details', 'Email addresses', 'IP addresses', 'Usernames', 'Website activity']"
HeroesOfNewerth,2012-12-17,heroesofnewerth.com,8089103,"['Email addresses', 'Passwords', 'Usernames']"
HIAPK,2014-01-01,hiapk.com,13873674,"['Email addresses', 'Passwords', 'Usernames']"
HLTV,2016-06-19,hltv.org,611070,"['Email addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
HongFire,2015-03-01,hongfire.com,999991,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
HoundDawgs,2017-12-30,hounddawgs.org,45701,"['Email addresses', 'IP addresses', 'Passwords', 'Website activity']"
Houzz,2018-05-23,houzz.com,48881308,"['Email addresses', 'Geographic locations', 'IP addresses', 'Names', 'Passwords', 'Social media profiles', 'Usernames']"
HTHStudios,2018-08-24,hthstudios.com,411755,"['Browser user agent details', 'Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Phone numbers', 'Physical addresses', 'Purchases', 'Usernames']"
Hub4Tech,2017-01-01,hub4tech.com,36916,"['Email addresses', 'Passwords']"
iDressup,2016-07-15,i-dressup.com,2191565,"['Email addresses', 'Passwords']"
ILikeCheats,2014-10-18,ilikecheats.net,188847,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
iMesh,2013-09-22,imesh.com,49467477,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
imgur,2013-09-01,imgur.com,1749806,"['Email addresses', 'Passwords']"
Insanelyi,2014-07-22,insanelyi.com,104097,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
Intelimost,2019-03-10,intelimost.com,3073409,"['Email addresses', 'Passwords']"
Interpals,2015-11-04,interpals.net,3439414,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Usernames']"
iPmart,2015-07-01,ipmart-forum.com,2460787,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
ixigo,2019-01-03,ixigo.com,17204697,"['Auth tokens', 'Device information', 'Email addresses', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Salutations', 'Social media profiles', 'Usernames']"
JobStreet,2012-03-07,jobstreet.com,3883455,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Government issued IDs', 'Marital statuses', 'Names', 'Nationalities', 'Passwords', 'Phone numbers', 'Physical addresses', 'Usernames']"
JoomlArt,2018-01-30,joomlart.com,22477,"['Email addresses', 'Names', 'Passwords', 'Payment histories', 'Usernames']"
JustDate,2016-09-29,justdate.com,24451312,"['Dates of birth', 'Email addresses', 'Geographic locations', 'Names']"
KayoMoe,2018-09-11,,41826763,"['Email addresses', 'Passwords']"
Kickstarter,2014-02-16,kickstarter.com,5176463,"['Email addresses', 'Passwords']"
Kimsufi,2015-05-01,kimsufi.com,504565,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
KMRU,2016-02-29,km.ru,1476783,"['Dates of birth', 'Email addresses', 'Genders', 'Geographic locations', 'Recovery email addresses', 'Security questions and answers', 'Usernames']"
KnownCircle,2016-04-12,knowncircle.com,1957600,"['Email addresses', 'Email messages', 'Genders', 'Names', 'Passwords', 'Phone numbers', 'Physical addresses']"
Knuddels,2018-09-05,knuddels.de,808330,"['Email addresses', 'Geographic locations', 'Names', 'Passwords', 'Usernames']"
Lanwar,2018-07-28,lanwar.com,45120,"['Email addresses', 'Names', 'Passwords', 'Physical addresses', 'Usernames']"
Lastfm,2012-03-22,last.fm,37217682,"['Email addresses', 'Passwords', 'Usernames', 'Website activity']"
LeagueOfLegends,2012-06-11,leagueoflegends.com,339487,"['Email addresses', 'Passwords', 'Usernames']"
Leet,2016-09-10,leet.cc,5081689,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
Lifeboat,2016-01-01,lbsg.net,7089395,"['Email addresses', 'Passwords', 'Usernames']"
LightsHope,2018-06-25,lightshope.org,30484,"['Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Private messages', 'Usernames']"
LinkedIn,2012-05-05,linkedin.com,164611595,"['Email addresses', 'Passwords']"
LinuxForums,2018-05-01,linuxforums.org,275785,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
LinuxMint,2016-02-21,linuxmint.com,144989,"['Avatars', 'Dates of birth', 'Email addresses', 'Geographic locations', 'IP addresses', 'Passwords', 'Time zones', 'Website activity']"
LittleMonsters,2017-01-01,littlemonsters.com,995698,"['Dates of birth', 'Email addresses', 'Passwords', 'Usernames']"
LizardSquad,2015-01-16,lizardstresser.su,13451,"['Email addresses', 'Passwords', 'Usernames']"
Lookbook,2012-08-24,lookbook.nu,1074948,"['Dates of birth', 'Email addresses', 'IP addresses', 'Names', 'Passwords', 'Usernames', 'Website activity']"
LOTR,2013-08-01,lotro.com,1141278,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
LoungeBoard,2013-08-01,loungeboard.net,45018,"['Email addresses', 'IP addresses', 'Names', 'Passwords', 'Private messages', 'Usernames', 'Website activity']"
LyricsMania,2017-12-21,lyricsmania.com,109202,"['Email addresses', 'Passwords', 'Usernames']"
MacForums,2016-07-03,mac-forums.com,326714,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Mac-Torrents,2015-10-31,mac-torrents.com,93992,"['Email addresses', 'Passwords', 'Usernames']"
MailRu,2014-09-10,mail.ru,16630988,"['Email addresses', 'Passwords']"
MajorGeeks,2015-11-15,majorgeeks.com,269548,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
MallCZ,2017-07-27,mall.cz,735405,"['Email addresses', 'Names', 'Passwords', 'Phone numbers']"
Malwarebytes,2014-11-15,malwarebytes.org,111623,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
MangaTraders,2014-06-09,mangatraders.com,855249,"['Email addresses', 'Passwords']"
MangaFox,2016-06-01,mangafox.me,1311610,"['Dates of birth', 'Email addresses', 'IP addresses', 'Passwords', 'Usernames']"
Mappery,2018-12-11,mappery.com,205242,"['Email addresses', 'Geographic locations', 'Passwords', 'Usernames']"
MasterDeeds,2017-03-14,,2257930,"['Dates of birth', 'Deceased statuses', 'Email addresses', 'Employers', 'Ethnicities', 'Genders', 'Government issued IDs', 'Home ownership statuses', 'Job titles', 'Names', 'Nationalities', 'Phone numbers', 'Physical addresses']"
Mate1,2016-02-29,mate1.com,27393015,"['Astrological signs', 'Dates of birth', 'Drinking habits', 'Drug habits', 'Education levels', 'Email addresses', 'Ethnicities', 'Fitness levels', 'Genders', 'Geographic locations', 'Income levels', 'Job titles', 'Names', 'Parenting plans', 'Passwords', 'Personal descriptions', 'Physical attributes', 'Political views', 'Relationship statuses', 'Religions', 'Sexual fetishes', 'Travel habits', 'Usernames', 'Website activity', 'Work habits']"
MCBans,2016-10-27,mcbans.com,119948,"['Email addresses', 'IP addresses', 'Passwords', 'Usernames', 'Website activity']"
MDPI,2016-08-30,mdpi.com,845012,"['Email addresses', 'Email messages', 'IP addresses', 'Names']"
