ID,organization,state,industry,exposure,records
ITRC20170222-16,Crotched Mountain Foundation,NH,Business,Yes - Published ,1695
ITRC20170222-19,Family Service Rochester,MN,Business,Yes - Published ,17037
ITRC20170222-21,Saturna Capital Corporation,WA,Business,Yes - Unknown ,Unknown
ITRC20170222-22,Itmanagement.com,NY,Business,Yes - Unknown ,Unknown
ITRC20170222-28,Equifax,GA,Business,Yes - Published ,158
ITRC20170222-32,BeneschFriedlanderCoplan & AronoffLLP,OH,Business,Yes - Published #,1134
ITRC20170223-01,Viskase,IL,Business,Yes - Published ,590
ITRC20170223-02,InterMountain ManagementLLC,LA,Business,Yes - Unknown #,Unknown
ITRC20170223-03,Cayan,MA,Business,Yes - Published ,331
ITRC20170223-04,Arabella Advisors,DC,Business,Yes - Published ,553
ITRC20170223-05,LEAF Commercial Capital,CO,Business,Yes - Published ,327
ITRC20170223-06,Gardiner & Appel Group,MD,Business,Yes - Published ,1281
ITRC20170223-07,Insperity,TX,Business,Yes - Unknown ,Unknown
ITRC20170223-08,Art of Shaving,TX,Business,Yes - Unknown ,Unknown
ITRC20170223-09,Boulrice & Wood CPAs PC,NY,Business,Yes - Published #,766
ITRC20170224-01,Logic Supply,VT,Business,Yes - Unknown ,Unknown
ITRC20170224-02,Coachella Music Festival (Goldenvoice),CA,Business,Yes - Published ,27000
ITRC20170224-03,North Carolina Symphony,NC,Business,Yes - Published ,262
ITRC20170224-04,Ellwood Thompson's Local Market,VA,Business,Yes - Published ,360
ITRC20170224-05,Civitas Media,NC,Business,Yes - Unknown ,Unknown
ITRC20170224-09,Medical Information Management SystemsInc,FL,Business,Yes - Published #,11707
ITRC20170224-12,Roy & Bentas CPAs PC,NH,Business,Yes - Published #,209
ITRC20170224-13,Cloudflare,CA,Business,Yes - Unknown ,Unknown
ITRC20170224-14,Amalgamated Sugar,ID,Business,Yes - Published ,2858
ITRC20170224-17,Tab Products Co LLC,WI,Business,Yes - Published #,183
ITRC20170227-01,Roberts HawaiiInc.,HI,Business,Yes - Published #,30180
ITRC20170227-03,Rod's Western Palace,OH,Business,Yes - Published ,34255
ITRC20170227-04,TrustCommInc.,VA,Business,Yes - Unknown #,Unknown
ITRC20170227-05,VeratoInc.,VA,Business,Yes - Unknown #,Unknown
ITRC20170228-01,Pacific Biosciences of CaliforniaInc.,CA,Business,Yes - Published #,454
ITRC20170228-02,Bentley Truck Services,PA,Business,Yes - Published ,Unknown
ITRC20170228-03,AccoladeInc.,CA,Business,Yes - Published #,937
ITRC20170228-04,Beckett Air,OH,Business,Yes - Published ,200
ITRC20170228-05,Vintage Realty Company,LA,Business,Yes - Unknown ,Unknown
ITRC20170228-08,CloudPets (Spiral Toys),CA,Business,Yes - Unknown ,Unknown
ITRC20170228-12,Downeast Credit Union,ME,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170228-16,John D. WilliamsonCPA,CA,Business,Yes - Published #,738
ITRC20170228-17,Benchmark,TX,Business,Yes - Unknown ,Unknown
ITRC20170228-18,U.S. Anti-Doping Agency,CO,Business,Yes - Unknown ,Unknown
ITRC20170228-20,John Deere Financial,WI,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170228-21,New York Life Insurance Company,NY,Business,Yes - Published ,2367
ITRC20170228-24,TrueNet Communications,FL,Business,Yes - Unknown ,Unknown
ITRC20170301-01,Wisenbaker Building Services,AL,Business,Yes - Unknown ,Unknown
ITRC20170301-02,Tata Access Floors,MD,Business,Yes - Unknown ,Unknown
ITRC20170301-03,ABNB Federal Credit Union,VA,Banking/Credit/Financial,Yes - Unknown ,Unknown
ITRC20170301-04,Autoneum North AmericaInc.,MI,Business,Yes - Published #,2400
ITRC20170301-05,Northeast Ohio Regional Sewer District,OH,Business,Yes - Published ,897
ITRC20170302-01,MetWest Terra Hospitality,WY,Business,Yes - Unknown ,Unknown
ITRC20170302-03,Allied MindsLLC,MA,Business,Yes - Unknown #,Unknown
ITRC20170302-04,Stallcup & Associates CPAs,CA,Business,Yes - Published ,638
ITRC20170302-07,Aero AirLLC,OR,Business,Yes - Unknown #,Unknown
ITRC20170302-08,Pasco RentalsInc.,WA,Business,Yes - Published #,6300
ITRC20170302-09,AptosInc. (multiple retail stores),GA,Business,Yes - Unknown #,Unknown
ITRC20170302-10,Millennium SolutionsInc.,TX,Business,Yes - Unknown #,Unknown
ITRC20170302-11,Ambassador Title Service,NE,Business,Yes - Unknown ,Unknown
ITRC20170303-01,Lake Kennedy McCulloch CPAs,WA,Business,Yes - Unknown ,Unknown
ITRC20170303-06,Lowe's,NC,Business,Yes - Unknown ,Unknown
ITRC20170303-07,MAM Software,PA,Business,Yes - Published ,81
ITRC20170303-09,Carla CrossLLC,NM,Business,Yes - Published #,242
