Date,City,State,Demand,Paid,Year,Ransom
"Oct, 2018",Indiana National Guard,IN,Unknown,U,2018,Unknown
"Oct, 2018",West Haven,CT,"$2,000",Y,2018,2000
"Nov, 2018",Rockaway Township PD,NJ,Unknown,U,2018,Unknown
"Nov, 2018",Johannesburg-Lewiston School Distric,MI,Unknown,Y,2018,Unknown
"Dec, 2018",North Bend (and PD),OR,"$50,000",N,2018,50000
"Dec, 2018",Jupiter,FL,Unknown,N,2018,Unknown
"Jan, 2019",Lamar County Sheriff's Dept,TX,Unknown,N,2019,Unknown
"Jan, 2019",Salisbury PD,MD,Unknown,N,2019,Unknown
"Jan, 2019",Akron,OH,Unknown,N,2019,Unknown
"Jan, 2019",Sammamish,WA,Unknown,N,2019,Unknown
"Jan, 2019",Bridgeport School Systems,CT,Unknown,U,2019,Unknown
"Jan, 2019",Del Rio,TX,Unknown,U,2019,Unknown
"Feb, 2019",Colchester,CT,Unknown,N,2019,Unknown
"Feb, 2019",Mt Zion School District,IL,Unknown,N,2019,Unknown
"Feb, 2019",Taos Municipal School District,NM,"$5,000",N,2019,5000
"Mar, 2019",Committee for Public Counsel,MA,Unknown,N,2019,Unknown
"Mar, 2019",Park Rapids School System,MN,Unknown,N,2019,Unknown
"Mar, 2019",Orange County (and PD),NC,Unknown,N,2019,Unknown
"Mar, 2019",Fisher County PD,TX,Unknown,N,2019,Unknown
"Mar, 2019",Albany,NY,Unknown,U,2019,Unknown
"Mar, 2019",Jackson County,GA,"$400,000",Y,2019,400000
"Apr, 2019",Genessee County,MI,Unknown,N,2019,Unknown
"Apr, 2019",Imperial County,CA,Unknown,N,2019,Unknown
"Apr, 2019",Stuart,FL,Unknown,N,2019,Unknown
"Apr, 2019",Greenville,NC,Unknown,U,2019,Unknown
"Apr, 2019",Augusta,ME,Unknown,U,2019,Unknown
"Apr, 2019",Garfield County,UT,Unknown,Y,2019,Unknown
"June, 2019",lake city fl,FL,460000,Y,2019,460000
"June, 2019",riviera beach fl,FL,600000,Y,2019,600000
"May, 2019",baltimore,MD,75000,N,2019,75000
